name,category,city,phone,rating,reviews_count,website,opportunity_score,estimated_ltv,recommended_pitch,tier
Jacob's Caterers & Events Pvt Ltd,Caterer,Thiruvananthapuram,919562468636.0,4.7,1492.0,,100,390000,"You have 1492 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
B Six Outdoor Caterers,Caterer,Thiruvananthapuram,914712724030.0,3.9,435.0,,80,260000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
4S Catering & Event,Caterer,Thiruvananthapuram,919495661288.0,4.8,387.0,http://www.4scaters.com/,60,300000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"VEE KAY VEES CATERERS , TRIVANDRUM",Catering Food And Drink Supplier,Thiruvananthapuram,917736651555.0,4.9,553.0,https://www.veekayvees.com/,60,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"SSA Caters,trivandrum",Catering Food And Drink Supplier,Thiruvananthapuram,919745944447.0,4.9,107.0,,95,146250,"You have 107 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Varnam Outdoor Catering,Catering Food And Drink Supplier,Thiruvananthapuram,919847151999.0,3.6,87.0,https://www.varnamcaterers.com/,30,50000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
NELLARA CATERS & EVENTS,Restaurant Supply Store,Thiruvananthapuram,917510224017.0,5.0,120.0,,95,146250,"You have 120 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
BCK KITCHEN,Restaurant Supply Store,Thiruvananthapuram,919826914130.0,4.8,50.0,,90,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ameen Caterers,Restaurant Supply Store,Thiruvananthapuram,,4.3,6.0,,60,78000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Leela Enterprises & Event Planners,Event Management Company,Thiruvananthapuram,919946102684.0,3.8,295.0,https://www.leelaevents.com/,40,800000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
EVENTSOUL Event Management And Catering - Trivandrum - No.1 Trusted Brand,Event Management Company,Thiruvananthapuram,919746577566.0,5.0,240.0,https://www.instagram.com/eventzsoul.tvm?igsh=MTIzOTlnYjNkZTQycw%3D%3D,80,1200000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Fashion Fruitz Events Trivandrum,Event Management Company,Thiruvananthapuram,917560955055.0,4.9,231.0,http://www.fashionfruitz.com/,60,1200000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Royal Events And Wedding Planner - Event Management In Trivandrum,Event Planner,Thiruvananthapuram,919995062979.0,5.0,520.0,http://www.royaleventscompany.in/,60,1500000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
VR Events And Media,Event Planner,Thiruvananthapuram,919020887712.0,4.9,190.0,https://www.vreventsandmedia.com/,55,1125000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
ADMIRE EVENTS Megashows And Wedding Company,Event Planner,Thiruvananthapuram,919946859759.0,4.9,79.0,https://admirevent.com/,50,750000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Happy Weddings,Wedding Planner,Thiruvananthapuram,919895601548.0,4.5,219.0,http://thehappyweddings.com/,60,1500000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
