name,category,city,phone,rating,reviews_count,website,opportunity_score,estimated_ltv,recommended_pitch,tier
Diandel Fashion Studio,Boutique,Attingal,919400041118.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Bonito Fashion,Wedding Store,Kasaragod,916282607337.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Pepper Studio Clothing Co Kasaragod,Wedding Store,Kasaragod,918129310786.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
BINRA Wedding Bridal Rentals,Full Dress Rental Service,Kasaragod,919895195522.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Wellfit Bridal,Bridal Shop,Kasaragod,919562725331.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Bride Designer Boutique,Clothing Store,Kasaragod,917012493296.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Vaishnavi Designs Studio | Best Bridal Stitching Handwork & Embroidery Studio,Boutique,Kasaragod,917012941663.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Selecto Dress Makers,Tailor,Mankulam,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Zaria By Caeli,Clothing Store,Kothamangalam,917025911191.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sangeethaz Designer Boutique,Boutique,Kothamangalam,919847953302.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Wedding Mantra,Event Management Company,Thiruvananthapuram,919645969994.0,5.0,15.0,,80,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,42.0,,73,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Clouds Events,Event Management Company,Thiruvananthapuram,919947000735.0,5.0,0.0,,80,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Maxx Caters,Catering Food And Drink Supplier,Ernakulam,919895069534.0,5.0,20.0,,83,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
ALMEIDA'S CATERERS,Caterer,Kochi,919447759939.0,5.0,19.0,,80,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sree Vignavinayaka Caterers,Caterer,Kochi,919847931456.0,5.0,15.0,,80,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
REINE DESIGNS,Tailor,Rajakkad,919061785016.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Qiza Designs,Clothing Store,Vannappuram,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Peelika Designer Boutique,Designer Clothing Store,Muvattupuzha,917994183412.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Minimal Designs,Boutique,,919446030731.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
ALPHA'S DESIGN & MAKEUP,Bridal Shop,Kothamangalam,919747472744.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Vyga Boutique,Tailor,Thodupuzha,919495449944.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
D CROWN BOUTIQUE,Boutique,Kottayam,916238331055.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Jefin's Events & Caterers,Event Management Company,Areekode,919567199773.0,5.0,28.0,,83,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
DL Caterers | Top Caterers In Calicut | Top Caterers In Kozhikkode | Top Catering Kozhikode,Caterer,Kozhikode,918078311034.0,5.0,5.0,,80,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
BASHBAY CATERING,Caterer,Kappad,919207113335.0,5.0,5.0,,78,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Kumpukkattu Fashions,Clothing Store,Thiruvananthapuram,919447053264.0,5.0,5.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Kalyanaramans Events,Caterer,Thiruvananthapuram,,5.0,2.0,,70,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Hayath Caterer's & Events,Catering Food And Drink Supplier,Thiruvananthapuram,,5.0,8.0,,70,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Minukk Bridals & Makeover,Bridal Shop,Adimali,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ilariya Designing Studio,Boutique,Muvattupuzha,919496312123.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
WEDNEXTDAY,Wedding Dress Rental Service,Thodupuzha,916282654023.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Apsara Rental Store,Wedding Dress Rental Service,Sultan Bathery,918075735424.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Amora Mix Couture Studio,Boutique,Kalpetta,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Dithi Designer Boutique,Women's Clothing Store,Sultan Bathery,918593947200.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Jade Vine Designs,Designer Clothing Store,Sultan Bathery,919605321998.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ellezza,Bridal Shop,Sultan Bathery,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Well-off Designz Stitching Center & Boutique,Dressmaker,Pathanamthitta Part,918848616099.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
THE DRAPE STUDIO KONNI,Designer Clothing Store,Konni,919605445271.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Mirchi Catering & Events,Catering Food And Drink Supplier,Thrissur,919747941739.0,5.0,8.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Thalassery Kitchen Food & Catering,Restaurant Supply Store,Kozhikode,919895143325.0,5.0,10.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ramzans Malabar Kitchen Caterers,Caterer,Kozhikode,,5.0,0.0,,70,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Jeelani Catering,Catering Food And Drink Supplier,Kozhikode,,5.0,2.0,,70,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Bava Caterers,Caterer,Kozhikode,,5.0,0.0,,70,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Foodzo Chappathi Company & Bakes,Caterer,Perumanna,918589853453.0,5.0,2.0,,78,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Parappanad Catering,Event Management Company,Parappanangadi,918089378369.0,5.0,23.0,,83,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
MIRAXXO CATERERS EVENTS,Event Management Company,Malappuram,919447209038.0,5.0,2.0,,78,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Vastra Designer Boutique & Bridal Studio,Boutique,Vadasserikkara,918668087771.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Pratha Designer Boutique,Clothing Store,Kumbanad,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Vyshakam Designer Boutique,Women's Clothing Store,Mulakuzha,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
FASHION THREADS Stitching Center & Boutique,Dressmaker,Pathanamthitta,918921590511.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"ACME Designer Collections, Acme Building, Chinmaya Nagar, Palakkad",Clothing Store,Palakkad,919496435232.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
SAAWARIYA Bridal Hub,Women's Clothing Store,Palakkad,918089802867.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Moorkath Catering And Events,Catering Food And Drink Supplier,Thrissur,919847566862.0,5.0,11.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Nila Events & Decors,Event Management Company,,,5.0,15.0,,68,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sabari Catering Service Enkakkad,Catering Food And Drink Supplier,Thrissur,919446146321.0,5.0,2.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Mother Caters,Restaurant Supply Store,Thrissur,,5.0,10.0,,70,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
AHMAD CATERERS,Restaurant,Guruvayur,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Papaya Caterers,Caterer,Vadakkethara,919947450624.0,5.0,10.0,,78,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sestra Bridal Rental & Boutique,Women's Clothing Store,Cherpulassery,917902970722.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Tanisha Designer Hub,Clothing Manufacturer,Kongad,918547741158.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Daivik She Spot,Boutique,Kongad-i,918075061534.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
MOHASRISHTI,Bridal Shop,Palakkad,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
NEFERT BOUTIQUE,Dressmaker,Palakkad,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Diwa Designs,Clothing Store,Palakkad,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ethna Designs | Fashion Designer Kollam,Boutique,Kollam,918891506053.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Zoella DESIGNER STUDIO,Clothing Store,Kollam,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Danah Designer Boutique,Women's Clothing Store,Thazhuthala,919899597665.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Shalom Wedding Gowns,Clothing Store,Bishop Jerom Nagar,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
