name,category,city,phone,rating,reviews_count,website,instagram,facebook,digital_presence,instagram_followers,facebook_followers,opportunity_score,estimated_ltv,recommended_pitch,tier
Palace Catering,Catering Food And Drink Supplier,Thiruvananthapuram,,5.0,24.0,,,,none,,,75,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Shamyna Catering & Events By Omarshareef,Caterer,Thiruvananthapuram,918907070100.0,5.0,43.0,,,,none,,,85,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
WEDDING GOWNS | SUITS | LEHANGAS | ORNAMENTS - MUNNAR,Wedding Dress Rental Service,Munnar,918590927876.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Diandel Fashion Studio,Boutique,Attingal,919400041118.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
EXPOSURE BRIDAL Couture Boutique,Fashion Designer,Mararikulam,919072313233.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
SD CLOTHINGS,Clothing Store,Cherthala,918891392939.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
PARADISE OUTDOOR CATERING,Caterer,Ernakulam,919446219167.0,5.0,20.0,,,,none,,,83,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sree Vignavinayaka Caterers,Caterer,Kochi,919847931456.0,5.0,15.0,,,,none,,,80,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
A STAR CATERERS TRIPUNITHURA,Caterer,Ernakulam,919744714185.0,5.0,49.0,,https://www.instagram.com/joseph_philip_a_star_caterers_?igsh=MWdqeTBhMG5pOHA4bQ%3D%3D,,social_only,,,73,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
ALMEIDA'S CATERERS,Caterer,Kochi,919447759939.0,5.0,19.0,,,,none,,,80,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Maxx Caters,Catering Food And Drink Supplier,Ernakulam,919895069534.0,5.0,20.0,,,,none,,,83,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Story Mensfashion,Men's Clothing Store,Alappuzha,916235636277.0,5.0,0.0,,https://www.instagram.com/sto.ry_men_sfashion?igsh=MTIzZ2ZqNDB6dzl3MA%3D%3D,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
B FOR BRIDE (bridal Boutique In Alappuzha),,Alappuzha,918606583371.0,5.0,0.0,,https://www.instagram.com/b_for_bride_?igsh=MW1wdXdrdDI4anEzeg%3D%3D,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
