name,category,city,phone,rating,reviews_count,website,instagram,facebook,digital_presence,instagram_followers,facebook_followers,opportunity_score,estimated_ltv,recommended_pitch,tier
Ruchi Caterers,Caterer,Thrissur,919645633373.0,4.9,14970.0,https://ruchicaters.com/,,,full_website,,,60,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Top In Town,Caterer,Palakkad,919447792880.0,4.0,2810.0,https://palakkadtopintown.com/,,,full_website,,,48,240000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Vinayaka Caterers & Kalyana Mandapam,Caterer,Kochi,914842203040.0,4.2,2780.0,,,,none,,,90,312000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Plaza Catering | Best Catering Service In Kerala,Caterer,Palakkad,919846301234.0,4.9,2349.0,https://plazacatering.co.in/,,,full_website,,,58,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Foodwey Caterers,Caterer,Kozhikode,918589801000.0,4.8,1712.0,,,,none,,,100,390000,"You have 1712 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Jacob's Caterers & Events Pvt Ltd,Caterer,Thiruvananthapuram,919562468636.0,4.7,1492.0,,,,none,,,100,390000,"You have 1492 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Bishop Pereira Hall,Banquet Hall,Thiruvananthapuram,917511107755.0,4.0,951.0,,,,none,,,90,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Ambiswami Catering Service,Caterer,Thrissur,914872335110.0,4.2,884.0,http://www.ambiswami.com/,https://www.instagram.com/ambiswami_catering/,https://www.facebook.com/ambiswamicaters,full_website,,,50,240000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sree Vaikundam Kalyana Mandapam,Wedding Venue,Thiruvananthapuram,914712471281.0,4.2,829.0,,,,none,,,90,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Gangothri Kalyana Mandapam,Wedding Venue,Ernakulam,914842353824.0,4.2,829.0,,,,none,,,88,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Nila Caterers India Pvt.ltd | Best Food Caterers In Kochi, Palakkad, Thrissur, Trivandrum, Kerala",Caterer,Kochi,919744662005.0,4.8,827.0,http://www.nilacaterers.com/,https://www.instagram.com/nilacaterers/,https://www.facebook.com/nilacatering,full_website,,,60,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sree Narayana Centenary Hall,Banquet Hall,Kozhikode,914952722681.0,4.1,794.0,http://www.sreekanteswara.com/,,,full_website,,,50,720000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
St. Michael's Parish Hall,Banquet Hall,Kochi,,4.2,762.0,,,,none,,,80,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
YNP Trust Hall,Wedding Venue,Kochi,,4.1,612.0,,,,none,,,80,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Fatima Matha Parish Hall,Banquet Hall,Ernakulam,914842203577.0,4.3,585.0,,,,none,,,88,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
ROLUSH CATERS,Caterer,Kannur,917872080808.0,4.9,555.0,http://www.rolush.in/,,,full_website,,,58,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Manacaud Valiyapalli Community Hall,Banquet Hall,Thiruvananthapuram,,4.3,538.0,,,,none,,,80,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Royal Taste Caterers & Event Planner,Caterer,Changanassery,918943969974.0,4.8,529.0,http://www.royaltastecaterers.com/,,,full_website,,,58,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Confluence By Hycinth,Banquet Hall,Thiruvananthapuram,919400000770.0,4.8,525.0,https://hycinthhotels.com/events-weddings/,,,full_website,,,60,900000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Nila Catering Service India Pvt. Ltd,Caterer,Palakkad,919847066611.0,4.6,524.0,http://www.nilacaterers.com/,https://www.instagram.com/nilacaterers/,https://www.facebook.com/nilacatering,full_website,,,58,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Royal Events And Wedding Planner - Event Management In Trivandrum,Event Planner,Thiruvananthapuram,919995062979.0,5.0,520.0,http://www.royaleventscompany.in/,https://www.instagram.com/royaleventsweddingplanner/,https://www.facebook.com/royaleventsandweddingplannertrivandrum,full_website,,,60,1500000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"A-la-carte Caterers,cochin ( Catering Service Kochi )",Caterer,Thiruvaniyoor,919072661001.0,4.7,514.0,http://www.alacartecaterers.com/,,,full_website,,,58,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Vijaya Lekshmi Catering, Udayamperoor, Thripunithura",Caterer,Kochi,919995520477.0,4.8,513.0,http://www.vijayalekshmicatering.com/,,https://www.facebook.com/vijayalekshmicateringtripunithura,full_website,,,60,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Lotus Wedding & Banquet Hall,Wedding Venue,Thalassery,919207102999.0,4.4,513.0,http://www.lotusweddinghall.in/,,,full_website,,,48,720000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Westend Caterers,Caterer,Ernakulam,919447181453.0,4.2,513.0,http://www.westendcaterer.com/,,,full_website,,,48,240000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Gayathri Kalyana Mandapam,Banquet Hall,Kochi,914842340271.0,4.1,497.0,,,,none,,,90,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Harvest Caterers Pvt Ltd | Best Caterers In Thrissur, Palakkad And Kerala",Caterer,Thrissur,919387177772.0,4.7,469.0,http://harvestcaterers.in/,,,full_website,,,60,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Akshaya Catering And Kitchen,Caterer,Ernakulam,914842775184.0,4.2,466.0,https://www.akshayacatering.com/,,,full_website,,,48,240000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
St George Parish Hall,Banquet Hall,Ernakulam,,4.2,429.0,,,,none,,,78,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sree Ananthasayanam Kalyana Mandapam,Wedding Venue,Thiruvananthapuram,914712883660.0,4.1,411.0,,,,none,,,90,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
4S Catering & Event,Caterer,Thiruvananthapuram,919495661288.0,4.8,387.0,http://www.4scaters.com/,https://www.instagram.com/4scatering/,https://www.facebook.com/4scaters,full_website,,,60,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blue Heaven Caterers,Caterer,Thrissur,919526123335.0,5.0,383.0,http://www.blueheavencaterers.com/,,,full_website,,,60,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Kaduvayil Wedding Company (kaduvayil Catering),Caterer,Kallambalam,919037717874.0,4.7,381.0,http://kaduvayilcatering.in/,,,full_website,,,58,300000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Cochin Rahumania Caterers,Caterer,Thiruvananthapuram,919895344807.0,4.8,371.0,,,,none,,,100,390000,"You have 371 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
