name,category,city,phone,rating,reviews_count,website,instagram,facebook,digital_presence,instagram_followers,facebook_followers,opportunity_score,estimated_ltv,recommended_pitch,tier
Durbar Hall Ground,Event Venue,Kochi,914712321132.0,4.5,6829.0,,,,none,,,100,195000,"You have 6829 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
STYLX Gents Beauty Parlour,Beauty Parlour,Kollam,919633005033.0,5.0,5858.0,,,,none,,,98,195000,"You have 5858 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Josettan's CINEMA COMPANY RESTAURANT & CATERERS,Restaurant,Thrissur,919061438882.0,4.5,5574.0,,,,none,,,100,195000,"You have 5574 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Naturals,Beauty Parlour,Thrissur,917592002200.0,4.7,2946.0,,,,none,,,100,195000,"You have 2946 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
MAHARANI SILKS,Clothing Store,Kalpetta,914936202000.0,4.9,2076.0,,,,none,,,98,195000,"You have 2076 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
"Salon De R, Spa And Makeup",Beauty Parlour,Kollam,919633378666.0,4.7,1953.0,,,,none,,,98,195000,"You have 1953 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
"Simi's Bridal Studio & Academy | Celebrity Wedding Makeup Artist & Beautician Course In Kottayam,kerala",Make-up Artist,Kottayam,919495523438.0,4.9,1891.0,,https://www.instagram.com/makeoverby_simifemin?igsh=Y2g5cXVzOG00Mzd6,,social_only,,,88,195000,"You have 1891 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
La Reine Family Salon & Makeup Studio,Beauty Parlour,Chengannur,919207120002.0,4.7,1775.0,,,http://facebook.com/larefasa,social_only,,,88,195000,"You have 1775 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Ygary Beauty Salon & Makeover Studio,Beauty Parlour,Palakkad,919074643514.0,4.9,1744.0,,https://instagram.com/ygarybridesofficial,,social_only,,,88,195000,"You have 1744 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Foodwey Caterers,Caterer,Kozhikode,918589801000.0,4.8,1712.0,,,,none,,,100,390000,"You have 1712 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
"Essensuals Hairdressing By Toni&guy, Thodupuzha",Beauty Parlour,Thodupuzha,919562745060.0,4.6,1704.0,,,,none,,,98,195000,"You have 1704 happy clients with a 4.6 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Toni & Guy Essensuals - Beauty | Hair | Nail | Makeup | Best Salon In Calicut,Beauty Parlour,G. A College P. O,917510474474.0,4.8,1577.0,,,,none,,,98,195000,"You have 1577 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Clair Unisex Beauty Spa And Salon,Beauty Parlour,Pandalam,917909298948.0,4.8,1571.0,,,,none,,,98,195000,"You have 1571 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
YBE Family Salon & Spa,Beauty Parlour,Kannur,,4.8,1539.0,,,,none,,,88,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Ashtamudi Wellness, Dental Care,bridal Makeup & Beauty Salon In Kottiyam,best Bridal Studio In Kottiyam",Beauty Parlour,Kottiyam,914742534411.0,4.7,1497.0,,,,none,,,98,195000,"You have 1497 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Jacob's Caterers & Events Pvt Ltd,Caterer,Thiruvananthapuram,919562468636.0,4.7,1492.0,,,,none,,,100,390000,"You have 1492 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Dezert Hair And Beauty Salon,Beauty Parlour,Palathara,919745960111.0,4.7,1426.0,,,,none,,,98,195000,"You have 1426 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Wasava Cliff House,Event Venue,Kannur,919037386205.0,4.9,1379.0,,,,none,,,98,195000,"You have 1379 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Wasava Wedding Planners,Event Management Company,Kannur,,4.9,1379.0,,,,none,,,88,1560000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
VIOLET Unisex Beauty Care & Bridal Makeup Studio,Beauty Parlour,Mavelikara,919847485975.0,4.7,1312.0,,https://www.instagram.com/violet_beauty_care/,,social_only,,,88,195000,"You have 1312 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
ORANGE WEDDING STORE,Clothing Store,Pathanamthitta,919895799201.0,4.7,1147.0,,,,none,,,98,195000,"You have 1147 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Femino Ferragamo Unisex Studio Saloon,Beauty Parlour,Thiruvananthapuram,918714815745.0,4.7,1116.0,,,,none,,,100,195000,"You have 1116 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
FLAUNT Styling Lounge & SPA,Beauty Parlour,Kochi,919526892929.0,4.5,1099.0,,,,none,,,100,195000,"You have 1099 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Mayfair Ladies Salon Wellness & Spa/bridal Makeup,Beauty Parlour,Thiruvananthapuram,917356067466.0,4.8,1083.0,,,,none,,,100,195000,"You have 1083 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Unique Beauty And Spa Kanhangad,Beauty Parlour,Kanhangad,918891691676.0,4.8,1078.0,,https://www.instagram.com/uniquebeautyandspa/,,social_only,,,88,195000,"You have 1078 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Nakshathra Beauty Parlour And Bridal Studio,Beauty Parlour,Palakkad,919447354732.0,4.8,1070.0,,,,none,,,98,195000,"You have 1070 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
My Fairlady Bridal And Groom Makeup Studio,Make-up Artist,Chavakkad,918075562188.0,4.8,1036.0,,https://www.instagram.com/MyFairLadyBeautyMakeOver/,,social_only,,,88,195000,"You have 1036 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Radhas Bridal Studio,Beauty Parlour,Manjeri,919744884497.0,4.9,986.0,,,,none,,,98,195000,"You have 986 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Naturals,Beauty Parlour,Chavakkad,917592044400.0,4.8,943.0,,,,none,,,98,195000,"You have 943 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Rose Petals Skin And Hair Beauty Parlour Varkala,Beauty Parlour,Varkala,917012463741.0,4.8,917.0,,,,none,,,98,195000,"You have 917 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Belledonna,Beauty Parlour,Kozhikode,919846224871.0,5.0,896.0,,,,none,,,100,195000,"You have 896 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Le Belleza Unisex Salon,Beauty Parlour,Kollam,917907137741.0,4.8,881.0,,,,none,,,98,195000,"You have 881 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Tres Beau By Aadharsh,Beauty Parlour,Thrissur,916238662847.0,4.9,852.0,,,,none,,,100,195000,"You have 852 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
