name,category,city,phone,rating,reviews_count,website,instagram,facebook,digital_presence,instagram_followers,facebook_followers,opportunity_score,estimated_ltv,recommended_pitch,tier
GREEN NEST KUMBALANGI,Wedding Venue,Kochi,918086379668.0,4.7,368.0,,https://instagram.com/greennest_kumbalangi?igshid=ZDc4ODBmNjlmNQ%3D%3D,,social_only,,,90,1170000,"You have 368 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
VILLAGE CANOPY | Outdoor Wedding Venue,Wedding Venue,Kochi,919846969508.0,4.7,312.0,,https://www.instagram.com/village_canopy?igsh=NjN3ZmVqcXAwazdq,,social_only,,,90,1170000,"You have 312 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
FTV Salon MG Road Kochi,Beauty Parlour,Kochi,918089069996.0,4.8,765.0,,https://www.instagram.com/ftvsalonmgroad_kochi?igsh=dG9iejEwb2cwaTJr,,social_only,,,90,195000,"You have 765 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Zephora Unisex Salon,Beauty Parlour,Thiruvananthapuram,914712320212.0,4.5,332.0,,https://www.instagram.com/zephora_unisex_salon/,,social_only,,,90,195000,"You have 332 happy clients with a 4.5 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Aura Beauty Lounge,Beauty Parlour,Kochi,918289808952.0,4.9,322.0,,https://www.instagram.com/aura_beauty_lounge?igsh=MXc0bHFndjRwcG4zcA%3D%3D,,social_only,,,90,195000,"You have 322 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Pink Bridal Makeovers & Pink Panther Family Salon,Beauty Parlour,Thiruvananthapuram,919895655556.0,4.7,568.0,,,https://www.facebook.com/share/eeyXiNfup2REGPtg/?mibextid=qi2Omg,social_only,,,90,195000,"You have 568 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Aiswarya Makeup Gallery & Academy,Beauty Parlour,Thrissur,919544473927.0,4.9,716.0,,https://instagram.com/aiswaryamakeupgallery?igshid=OGQ5ZDc2ODk2ZA%3D%3D,,social_only,,,90,195000,"You have 716 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
EVENTSOUL Event Management And Catering - Trivandrum - No.1 Trusted Brand,Event Management Company,Thiruvananthapuram,919746577566.0,5.0,240.0,,https://www.instagram.com/eventzsoul.tvm?igsh=MTIzOTlnYjNkZTQycw%3D%3D,,social_only,,,90,1560000,"You have 240 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Sumesh Delicious Store,Caterer,Kochi,919747474702.0,4.9,272.0,,,https://m.facebook.com/100063788149517/,social_only,,,90,390000,"You have 272 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
"NIBZ Unisex Beauty Salon, Punkunnam Thrissur",Beauty Parlour,Thrissur,917356222151.0,5.0,219.0,,https://www.instagram.com/nibz_signaturesalon/profilecard/?igsh=MTduNWgxZjZuM2FyMQ%3D%3D,,social_only,,,90,195000,"You have 219 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
