name,category,city,phone,rating,reviews_count,website,opportunity_score,estimated_ltv,recommended_pitch,tier
THARAVATTIL Outdoor Catering Service,Caterer,Thiruvananthapuram,914712300043.0,4.1,58.0,,80,156000,"Compete with top vendors - upgrade your digital presence. With 58 reviews, you're ready to scale!",Tier 2 - Growth
Arya Caterers,Caterer,Kochi,919946103086.0,4.1,62.0,,80,156000,"Compete with top vendors - upgrade your digital presence. With 62 reviews, you're ready to scale!",Tier 2 - Growth
Lovedine,Caterer,Kochi,914842539635.0,4.3,87.0,,80,156000,"Compete with top vendors - upgrade your digital presence. With 87 reviews, you're ready to scale!",Tier 2 - Growth
Malabar Adukkala,Caterer,Kochi,919995678666.0,4.4,53.0,,80,156000,"Compete with top vendors - upgrade your digital presence. With 53 reviews, you're ready to scale!",Tier 2 - Growth
Sree Saradha Sankara Kalyana Mandapam,Wedding Venue,Kochi,914842221990.0,4.1,56.0,,80,468000,"Compete with top vendors - upgrade your digital presence. With 56 reviews, you're ready to scale!",Tier 2 - Growth
Sadhya Caters,Caterer,Thiruvananthapuram,919778399840.0,4.2,63.0,,80,156000,"Compete with top vendors - upgrade your digital presence. With 63 reviews, you're ready to scale!",Tier 2 - Growth
Mascaraa Beauty Solutions,Beauty Parlour,Kozhikode,919859665599.0,4.3,95.0,,80,78000,"Compete with top vendors - upgrade your digital presence. With 95 reviews, you're ready to scale!",Tier 2 - Growth
Elegance Convention Center,Banquet Hall,Kochi,919387878785.0,4.0,96.0,,80,468000,"Compete with top vendors - upgrade your digital presence. With 96 reviews, you're ready to scale!",Tier 2 - Growth
Red Lips Beauty Parlour,Beauty Parlour,Thrissur,919744935414.0,4.3,64.0,,80,78000,"Compete with top vendors - upgrade your digital presence. With 64 reviews, you're ready to scale!",Tier 2 - Growth
Adhuzz Make Over STUDIO,Beauty Parlour,Thiruvananthapuram,917034306677.0,4.4,62.0,,80,78000,"Compete with top vendors - upgrade your digital presence. With 62 reviews, you're ready to scale!",Tier 2 - Growth
Dr Kanaka's Lifeline Wellness World,Beauty Parlour,Thrissur,918589074601.0,4.1,72.0,,80,78000,"Compete with top vendors - upgrade your digital presence. With 72 reviews, you're ready to scale!",Tier 2 - Growth
