name,category,city,phone,rating,reviews_count,website,instagram,facebook,digital_presence,instagram_followers,facebook_followers,opportunity_score,estimated_ltv,recommended_pitch,tier
Anna Catering Service & Anna Marriage Event,Caterer,Thiruvananthapuram,918547851828.0,4.9,56.0,,,,none,,,90,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
ASIAN CATERING AND EVENTS,Catering Food And Drink Supplier,Thiruvananthapuram,919847178614.0,4.7,50.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Fathima Beauty Parlour,Beauty Parlour,Kozhikode,919961497685.0,4.9,92.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Shams Beauty Solution,Beauty Parlour,Thrissur,918547733144.0,4.8,59.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Mecheri Events | Tent Rentals In Kozhikode,Event Management Company,Kozhikode,917025296678.0,5.0,51.0,,,,none,,,90,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Snowbells Decors And Events,Wedding Planner,Kochi,919562630102.0,4.9,63.0,,,,none,,,90,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Imperial Event Planners,Event Management Company,Kochi,918907942737.0,5.0,73.0,,,,none,,,90,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Eventgenie ! Event Planners In Kochi,Event Management Company,Kochi,919074209722.0,5.0,60.0,,,,none,,,90,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Mehra Beauty Parlour&makeup Studio,Beauty Parlour,Thrissur,917907280180.0,5.0,91.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Linjus Beauty Parlour,Beauty Parlour,Thrissur,919847164083.0,4.9,74.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Mangalsutra Wedding Planners,Wedding Planner,Kozhikode,918129268840.0,5.0,88.0,,,,none,,,90,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Calicut Kitchen Caters (P) Ltd,Caterer,Kochi,918075916295.0,4.9,87.0,,,,none,,,90,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Vijayalakshmi Caterers & Greenkraft Events,Caterer,Kochi,917736099099.0,4.4,363.0,,,,none,,,90,312000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Jabbar Catering & Events,Caterer,Kochi,919846171283.0,4.9,50.0,,,,none,,,90,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Allure - The Family Beauty Concept,Beauty Parlour,Kozhikode,919847472423.0,4.6,53.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Urban Holic,Beauty Parlour,Kozhikode,,4.8,279.0,,,,none,,,90,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
NOUME SALON,Beauty Parlour,Kozhikode,919072417201.0,5.0,96.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Beauty Bae Makeover And Beauty Parlour For Ladies And Kids,Beauty Parlour,Kozhikode,916238113046.0,4.8,55.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
ADORN BEAUTY PARLOUR & MAKEUP STUDIO,Beauty Parlour,Kozhikode,919745699222.0,4.9,52.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Violet Wedding Managment,Event Management Company,Kochi,917559926770.0,5.0,86.0,,,,none,,,90,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Smart Chef,Caterer,Thrissur,919895024002.0,4.7,65.0,,,,none,,,90,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blush'n'curls,Make-up Artist,Thrissur,919567836410.0,4.9,73.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Makeover Avenue Bridal Rental Jewellery Shop | Kozhikode Bridal Rental Jewellery Shop | Kerala Bridal Jewellery Shop,Bridal Shop,Kozhikode,919633612211.0,4.5,50.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Glamourize Beautyparlour & Makeup Studio,Beauty Parlour,Kozhikode,918848753195.0,4.9,74.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Lil Chef Kochi,Caterer,Kochi,919037633402.0,5.0,79.0,,,,none,,,90,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sree Vaikundam Kalyana Mandapam,Wedding Venue,Thiruvananthapuram,914712471281.0,4.2,829.0,,,,none,,,90,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Rajasooyam Auditorium,Auditorium,Thiruvananthapuram,918078079614.0,4.0,768.0,,,,none,,,90,156000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
FINE TOUCH BEAUTY PARLOUR,Beauty Parlour,Thrissur,919400886598.0,4.9,58.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Belleza Beauty Parlour And Makeup Studio,Beauty Parlour,Thrissur,918943343392.0,4.9,81.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Pooja's Trendz Lux Family Salon & Academy,Beauty Parlour,Thrissur,919961488455.0,4.6,61.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Alakapuri Convention Center,Convention Center,Thiruvananthapuram,914712725457.0,4.1,3967.0,,,,none,,,90,156000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Aarum Events,Event Planner,Kochi,917012083145.0,4.9,55.0,,,,none,,,90,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
AJD EVENTS & WEDDINGS,Wedding Planner,Kochi,919847459529.0,5.0,53.0,,,,none,,,90,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Stay In Style Unisex Salon Bridal & Groom Makeover Studio-trivandrum,Beauty Parlour,Thiruvananthapuram,917025001240.0,4.2,519.0,,,,none,,,90,156000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Aarohi Bridal Makeover & Mehndi Studio,Beauty Parlour,Thiruvananthapuram,919789817090.0,5.0,52.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sree Ananthasayanam Kalyana Mandapam,Wedding Venue,Thiruvananthapuram,914712883660.0,4.1,411.0,,,,none,,,90,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Lalith Mahal Kalyana Mandapam,Banquet Hall,Thiruvananthapuram,919946745111.0,4.1,270.0,,,,none,,,90,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
The Make Up,Beauty Parlour,Kochi,916238210130.0,4.9,53.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Grace Bridal Studio,Health And Beauty Shop,Kozhikode,918848828925.0,5.0,58.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Alagne Signature - The Makeup Artist,Make-up Artist,Kochi,917034302970.0,5.0,57.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Meraki Bridal Makeovers,Make-up Artist,Kochi,919745158839.0,5.0,58.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Gowri Kalyana Mantapa,Auditorium,Kochi,914842361295.0,4.1,623.0,,,,none,,,90,156000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Gayathri Kalyana Mandapam,Banquet Hall,Kochi,914842340271.0,4.1,497.0,,,,none,,,90,936000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Zaria Glam Studio,Beauty Parlour,Thiruvananthapuram,918281123495.0,4.9,87.0,,,,none,,,90,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Mount Carmel Convention Centre Thiruvananthapuram,Convention Center,Thiruvananthapuram,919188127775.0,4.4,1275.0,,,,none,,,90,156000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Aradana Events And Hire Service,Event Planner,Thiruvananthapuram,919037498834.0,4.9,51.0,,,,none,,,90,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
