name,category,city,phone,rating,reviews_count,website,instagram,facebook,digital_presence,instagram_followers,facebook_followers,opportunity_score,estimated_ltv,recommended_pitch,tier
Jacob's Caterers & Events Pvt Ltd,Caterer,Thiruvananthapuram,919562468636.0,4.7,1492.0,,,,none,,,100,390000,"You have 1492 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Cochin Rahumania Caterers,Caterer,Thiruvananthapuram,919895344807.0,4.8,371.0,,,,none,,,100,390000,"You have 371 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Soorya Catering (pure Vegetarian),Caterer,Thiruvananthapuram,919947452733.0,4.9,233.0,,,,none,,,100,390000,"You have 233 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Party Minds,Caterer,Kozhikode,918129156544.0,4.8,255.0,,,,none,,,100,390000,"You have 255 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
The Brahmins Veg Caters,Caterer,Kozhikode,919447951214.0,4.8,242.0,,,,none,,,100,390000,"You have 242 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Mayfair Ladies Salon Wellness & Spa/bridal Makeup,Beauty Parlour,Thiruvananthapuram,917356067466.0,4.8,1083.0,,,,none,,,100,195000,"You have 1083 happy clients with a 4.8 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Tejaswi Beauty Care & Make Up Studio,Supermarket,Thiruvananthapuram,919586725274.0,4.9,547.0,,,,none,,,100,195000,"You have 547 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Femino Ferragamo Unisex Studio Saloon,Beauty Parlour,Thiruvananthapuram,918714815745.0,4.7,1116.0,,,,none,,,100,195000,"You have 1116 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
PARVATHY BEAUTY SALON & MAKEUP STUDIO,Beauty Parlour,Thiruvananthapuram,919645738174.0,4.7,208.0,,,,none,,,100,195000,"You have 208 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
Floral Wedding Stage Decoration & Event Planner,Event Planner,Kochi,918907006655.0,4.9,214.0,,,,none,,,100,1950000,"You have 214 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding.",Tier 1 - Premium
